symbol,fiscalyear,Total_Revenue_Billions_USD,Total_NetIncome_Billions_USD
AAPL,2025,416.16,112.01
AAPL,2024,391.04,93.74
AAPL,2023,383.29,97.0
AAPL,2022,394.33,99.8
AAPL,2021,365.82,94.68
BAC,2025,141.88,22.98
BAC,2024,192.43,27.13
BAC,2023,171.91,26.52
BAC,2022,115.05,27.53
BAC,2021,93.85,31.98
BAC,2020,21.31,5.47
C,2025,127.45,11.84
C,2024,170.62,12.68
C,2023,156.78,9.23
C,2022,100.38,14.85
C,2021,79.19,21.95
C,2020,19.08,3.98
COST,2025,275.24,8.1
COST,2024,254.45,7.37
COST,2023,242.29,6.29
COST,2022,226.95,5.84
COST,2021,195.93,5.01
CVX,2025,140.15,9.54
CVX,2024,193.41,17.66
CVX,2023,196.91,21.37
CVX,2022,235.72,35.47
CVX,2021,155.61,15.63
CVX,2020,24.84,-0.67
GOOGL,2025,289.01,97.72
GOOGL,2024,350.02,100.12
GOOGL,2023,307.39,73.8
GOOGL,2022,282.84,59.97
GOOGL,2021,257.64,76.03
GOOGL,2020,56.9,15.23
GS,2025,100.11,12.56
GS,2024,126.85,14.28
GS,2023,108.42,8.52
GS,2022,68.71,11.26
GS,2021,64.99,21.64
GS,2020,13.3,4.51
HOOD,2025,3.19,1.28
HOOD,2024,2.95,1.41
HOOD,2023,1.87,-0.54
HOOD,2022,1.36,-1.03
HOOD,2021,1.81,-3.69
HOOD,2020,0.32,0.01
JPM,2025,210.72,44.02
JPM,2024,270.77,58.47
JPM,2023,236.61,49.55
JPM,2022,154.74,37.68
JPM,2021,127.24,48.33
JPM,2020,30.56,12.14
MRO,2024,5.0,0.93
MRO,2023,6.41,1.55
MRO,2022,7.54,3.61
MRO,2021,5.6,0.95
MRO,2020,3.1,-1.45
MRO,2019,1.23,-0.02
MSFT,2026,77.67,27.75
MSFT,2025,281.72,101.83
MSFT,2024,245.12,88.14
MSFT,2023,211.92,72.36
MSFT,2022,198.27,72.74
MSFT,2021,130.93,47.38
NVDA,2026,147.81,77.11
NVDA,2025,130.5,72.88
NVDA,2024,60.92,29.76
NVDA,2023,26.97,4.37
NVDA,2022,26.91,9.75
NVDA,2021,5.0,1.46
PYPL,2025,24.5,3.8
PYPL,2024,31.8,4.15
PYPL,2023,29.77,4.25
PYPL,2022,27.52,2.42
PYPL,2021,25.37,4.17
PYPL,2020,6.12,1.57
TGT,2025,74.46,2.94
TGT,2024,106.57,4.09
TGT,2023,107.41,4.14
TGT,2022,109.12,2.78
TGT,2021,106.01,6.95
TGT,2020,28.34,1.38
UNH,2025,334.35,12.05
UNH,2024,400.28,14.41
UNH,2023,371.62,22.38
UNH,2022,324.16,20.12
UNH,2021,287.6,17.29
UNH,2020,65.47,2.21
V,2025,40.0,20.06
V,2024,35.93,19.74
V,2023,32.65,17.27
V,2022,29.31,14.96
V,2021,24.11,12.31
WFC,2025,91.97,15.98
WFC,2024,125.4,19.72
WFC,2023,115.34,19.14
WFC,2022,83.07,13.39
WFC,2021,82.41,21.55
WFC,2020,19.28,2.99
WMT,2026,522.51,17.66
WMT,2025,680.99,19.44
WMT,2024,648.13,15.51
WMT,2023,611.29,11.68
WMT,2022,572.75,13.67
WMT,2021,152.08,-2.09
XOM,2025,243.87,22.34
XOM,2024,339.25,33.68
XOM,2023,334.7,36.01
XOM,2022,398.68,55.74
XOM,2021,276.69,23.04
XOM,2020,45.74,-20.07
symbol,"","",""
